"GEO_ID","P005001","P005002","P005003","P005004","P005005","P005006","P005007","P005008","P005009","P005010","P005011","P005012","P005013","P005014","P005015","P005016","P005017","NAME"
"id","Total","Total!!Not Hispanic or Latino","Total!!Not Hispanic or Latino!!White alone","Total!!Not Hispanic or Latino!!Black or African American alone","Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Total!!Not Hispanic or Latino!!Asian alone","Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Total!!Not Hispanic or Latino!!Some Other Race alone","Total!!Not Hispanic or Latino!!Two or More Races","Total!!Hispanic or Latino","Total!!Hispanic or Latino!!White alone","Total!!Hispanic or Latino!!Black or African American alone","Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Total!!Hispanic or Latino!!Asian alone","Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Total!!Hispanic or Latino!!Some Other Race alone","Total!!Hispanic or Latino!!Two or More Races","Geographic Area Name"
"8600000US90701","16591","10677","3534","546","36","6134","37","76","314","5914","2928","46","58","40","3","2557","282","ZCTA5 90701"
"8600000US90703","49399","43232","8149","3320","51","30193","113","83","1323","6167","3314","108","80","204","17","1901","543","ZCTA5 90703"
"8600000US90704","4090","1940","1808","12","7","53","10","4","46","2150","800","12","19","5","3","1169","142","ZCTA5 90704"
"8600000US90706","76615","36531","14971","10374","229","8720","567","162","1508","40084","17366","386","502","145","48","19570","2067","ZCTA5 90706"
"8600000US90710","25457","14035","5319","3237","42","4544","212","44","637","11422","5338","153","111","70","10","4955","785","ZCTA5 90710"
"8600000US90712","31499","22711","13188","3288","99","4630","301","80","1125","8788","4288","111","120","112","23","3353","781","ZCTA5 90712"
"8600000US90713","27925","20827","15550","1221","71","2797","182","59","947","7098","3801","72","99","100","13","2328","685","ZCTA5 90713"
"8600000US90715","20388","12215","3981","2066","62","5347","201","39","519","8173","3940","121","109","92","22","3376","513","ZCTA5 90715"
"8600000US90716","14184","3180","986","478","46","1489","49","14","118","11004","5427","64","132","22","8","4915","436","ZCTA5 90716"
"8600000US90717","21318","14241","9188","1003","81","3001","133","60","775","7077","3410","113","107","78","32","2786","551","ZCTA5 90717"
"8600000US90720","21751","18012","14522","376","51","2229","68","47","719","3739","2399","32","37","50","11","847","363","ZCTA5 90720"
"8600000US90723","54099","11551","3015","5980","86","1531","396","61","482","42548","19973","354","354","98","23","19962","1784","ZCTA5 90723"
"8600000US90731","59662","27930","19325","3986","220","2482","254","153","1510","31732","15491","383","501","239","98","12578","2442","ZCTA5 90731"
"8600000US90732","21115","15513","12142","886","59","1649","31","55","691","5602","3259","45","90","78","12","1554","564","ZCTA5 90732"
"8600000US90740","23729","21443","18192","259","38","2270","49","60","575","2286","1548","24","27","36","6","379","266","ZCTA5 90740"
"8600000US90742","831","761","693","4","6","31","2","4","21","70","45","0","0","0","0","14","11","ZCTA5 90742"
"8600000US90743","456","411","381","0","0","17","3","2","8","45","27","0","0","0","0","11","7","ZCTA5 90743"
"8600000US90744","53815","6023","2532","1473","103","1088","366","85","376","47792","21268","243","485","180","86","23205","2325","ZCTA5 90744"
"8600000US90745","57251","32407","4804","4262","108","20057","1729","107","1340","24844","10430","192","282","340","69","12005","1526","ZCTA5 90745"
"8600000US90746","25990","21043","1407","16577","33","1939","350","107","630","4947","1998","256","37","41","8","2162","445","ZCTA5 90746"
"8600000US90747","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","ZCTA5 90747"
"8600000US90755","11074","7603","3356","1427","28","2249","113","37","393","3471","1306","75","56","34","23","1743","234","ZCTA5 90755"
"8600000US90802","39347","24709","13522","6380","175","2972","219","132","1309","14638","6205","276","209","97","29","6798","1024","ZCTA5 90802"
"8600000US90803","32031","27540","23744","895","92","1810","54","76","869","4491","2663","59","71","47","3","1180","468","ZCTA5 90803"
"8600000US90804","40311","23148","9870","5568","124","6054","137","129","1266","17163","6475","320","206","115","30","8866","1151","ZCTA5 90804"
"8600000US90805","93524","41358","8490","18581","217","9816","2277","204","1773","52166","20690","737","524","213","82","27189","2731","ZCTA5 90805"
"8600000US90806","42399","21039","3838","7404","108","8275","500","65","849","21360","7680","327","222","135","48","11652","1296","ZCTA5 90806"
"8600000US90807","31481","23935","12074","5089","112","5134","234","50","1242","7546","3331","159","91","99","23","3188","655","ZCTA5 90807"
"8600000US90808","38232","30512","24376","1288","95","3071","188","95","1399","7720","4557","69","112","103","16","2033","830","ZCTA5 90808"
"8600000US90810","36735","17219","2248","4373","73","8655","966","71","833","19516","7817","169","169","126","47","10144","1044","ZCTA5 90810"
"8600000US90813","58911","21216","3999","7731","163","7888","359","126","950","37695","14354","448","397","170","51","20453","1822","ZCTA5 90813"
"8600000US90814","19131","14515","10788","1387","82","1402","61","55","740","4616","2113","65","80","38","11","1886","423","ZCTA5 90814"
"8600000US90815","39733","32565","24438","1813","117","4392","133","129","1543","7168","3962","81","78","127","19","2121","780","ZCTA5 90815"
"8600000US90822","117","105","63","36","0","4","2","0","0","12","11","0","0","0","0","1","0","ZCTA5 90822"
"8600000US90831","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","ZCTA5 90831"
"8600000US91001","36126","25657","12795","9499","79","1703","25","164","1392","10469","4793","284","206","61","2","4319","804","ZCTA5 91001"
"8600000US91006","31715","27380","8840","270","48","17504","16","34","668","4335","2457","34","54","61","1","1345","383","ZCTA5 91006"
"8600000US91007","34095","29728","8491","439","43","20072","7","66","610","4367","2405","29","76","87","0","1486","284","ZCTA5 91007"
"8600000US91008","1391","1151","823","23","0","274","0","3","28","240","154","2","4","6","0","62","12","ZCTA5 91008"
"8600000US91010","26074","11999","5959","1926","66","3434","24","64","526","14075","7482","131","139","82","6","5579","656","ZCTA5 91010"
"8600000US91011","20280","19009","13118","101","4","5187","4","50","545","1271","864","8","20","33","1","196","149","ZCTA5 91011"
"8600000US91016","40598","24659","16410","2468","97","4506","70","101","1007","15939","7911","163","208","137","12","6466","1042","ZCTA5 91016"
